"Scan Results","07/26/2026 at 01:27:51 (GMT-0300)"
"UNIPAMPA",,,,,"Brazil",
"Beatriz Roland Machado","unpam3br","Manager"

"Launch Date","Active Hosts","Total Hosts","Type","Status","Reference","Scanner Appliance","Duration","Scan Title","Asset Groups","IPs","Excluded IPs","Option Profile","FQDN"
"07/26/2026 at 00:22:43 (GMT-0300)","15","19","On-demand (default option profile)","Finished","scan/1785036163.64373","mulita-5080 (Scanner 15.2.5-1, Vulnerability Signatures 2.6.660-3)","00:27:36","VulnLab2",,"172.30.19.1-172.30.19.2, 172.30.20.2, 172.30.26.1, 172.30.32.1, 172.30.45.1, 172.30.46.1, 172.30.47.1, 172.30.49.1, 172.31.1.14, 172.31.1.20, 172.31.1.73-172.31.1.74, 172.31.1.76, 172.31.1.82, 172.31.1.84, 172.31.1.86, 172.31.1.92, 172.31.1.95",,"Qualys Recommended Option Profile",

"IP","DNS","NetBIOS","OS","IP Status","QID","Title","Type","Severity","Port","Protocol","FQDN","SSL","CVE ID","Vendor Reference","Bugtraq ID","Threat","Impact","Solution","Exploitability","Associated Malware","Results","PCI Vuln","Instance","OS CPE","Category","Result Errors","Result Debug"
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","13162","Session Cookie Does Not Contain the ""Secure"" Attribute","Vuln","2","3000","tcp",,,,,,"The secure cookie flag is an option that can be set by the application server when sending a new cookie to the user within an HTTP Response. The purpose of the secure flag is to prevent cookies from being observed by unauthorized parties due to the transmission of a the cookie in clear text. By setting the secure flag, the browser will prevent the transmission of a cookie over an unencrypted channel. 
A cookie with the secure attribute was not detected in the scan. 
QID Detection Logic: 
This unauthenticated QID checks for the existence of the ""secure"" cookie flag.","Session cookies sent via HTTP expose users to sniffing attacks that could lead to user impersonation or account compromise.","Apply the ""secure"" attribute to session cookies to ensure that they are sent via HTTPS only. More information about this flag can be found here: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Set-Cookie.",,,"HTTP Cookie missing Secure attribute on port 3000.
Set-Cookie: _redmine_session=UWRnMExMbHZuK01ydWI4K3Q2aDEwc0RrWHJxQkZVL21MdVI0bWZRcXZwSnc2M0FidzNuZG8xZGdPUlVpU0J3aE9ZNHJZdzNsRzBrWjA0NU91YXBjRFM4dU50QUlneGFvWnhKcmsyQlVjaUhXdGkzcEJJZ3pmRnpvT2RLQ21YRTdQQUJYZGllMTcrVkt6bWZZZitRL2U0cnE1dzdoZXJ1YUFFdnFaRmtRRHlFeGs4VU1ZSXdxNGRaYXdKa2s0VGZSLS1HWDAxbkZqeUlFeGQrME9XR0xFSElnPT0%3D--a58ebe9f435f11362c679af782a9541cf52dd0d9; path=/; HttpOnly
GET / HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive","yes",,,"CGI",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","86729","AutoComplete Attribute Not Disabled for Password in Form Based Authentication","Vuln","2","3000","tcp",,,,,,"The Web server allows form based authentication without disabling the AutoComplete feature for the password field. 
Autocomplete should be turned off for any input that takes sensitive information such as credit card number, CVV2/CVC code, U.S. social security number, etc.","If the browser is used in a shared computing environment where more than one person may use the browser, then ""autocomplete"" values may be retrieved or submitted by an unauthorized user.","Contact the vendor to have the AutoComplete attribute disabled for the password field in all forms. The AutoComplete attribute should also be disabled for the user ID field.  
Developers can add the following attribute to the form or input element: autocomplete=""off""  
This attribute prevents the browser from prompting the user to save the populated form values for later reuse.   
Most browsers no longer honor autocomplete=""off"" for password input fields. These browsers include  Chrome, Firefox, Microsoft Edge, IE, Opera 
However, there is still an ability to turn off autocomplete through the browser and that is recommended for a shared computing environment. 
Since the ability to turn autocomplete off for password inputs fields is controlled by the user it is highly recommended for application to enforce strong password rules.",,,"GET /login.jsp HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

<form onsubmit=""return keepAnchorOnSignIn(this);"" action=""/login"" accept-charset=""UTF-8"" method=""post""><input name=""utf8"" type=""hidden"" value=""&x2713;"" /><input type=""hidden"" name=""authenticity_token"" value=""sibM5IP/OItGZ6izbZ0D3BUhzX0qGjJauZKUAUzKilgUVyrwNuZzHYW0UwnyRrCA9MicpTVmplcmLdjuxPmeIQ=="" />

<table>
<tr>
<td style=""text-align:right;""><label for=""username"">Login:</label></td>
<td style=""text-align:left;""><input type=""text"" name=""username"" id=""username"" tabindex=""1"" /></td>
</tr>
<tr>
<td style=""text-align:right;""><label for=""password"">Password:</label></td>
<td style=""text-align:left;""><input type=""password"" name=""password"" id=""password"" tabindex=""2"" /></td>
</tr>
<tr>
<td></td>
<td style=""text-align:left;"">
</td>
</tr>
<tr>
<td style=""text-align:left;"">
Lost password (/account/lost_password)
</td>
<td style=""text-align:right;"">
<input type=""submit"" name=""login"" value=""Login &187;"" tabindex=""5""/>
</td>
</tr>
</table>
</form>



GET /login.php HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login.cgi HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login.php?target=http://qualys/ HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login.asp HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login/?user=|""`id`""| HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login.aspx?ReturnUrl=default.aspx%22%20onclick=%22alert('QG_DETECTED_XSS') HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login.html HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login.action HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive

GET /login.seam HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive","no",,,"Web server",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","48001","Content-Security-Policy HTTP Security Header Not Detected","Ig","3","3000","tcp",,,,"Content-Security-Policy",,"The HTTP Content-Security-Policy response header allows web site administrators to control resources the user agent is allowed to load for a given page. This helps guard against cross-site scripting attacks (XSS). 
QID Detection Logic: 
This QID detects the absence of the Content-Security-Policy HTTP header by transmitting a GET request.","N/A","N/A",,,"Content-Security-Policy HTTP Header missing on port 3000.
GET / HTTP/1.1
Host: redmine33.labvulnerabilities_vulnnet:3000
Connection: Keep-Alive","no",,,"Information gathering",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","45266","Web Server HTTP Protocol Versions","Ig","2","3000","tcp",,,,,,"This QID lists supported HTTP protocol (HTTP 1.x or HTTP 2) from remote web server.","N/A","N/A",,,"Remote Web Server supports HTTP version 1.x on 3000 port.GET / HTTP/1.1","no",,,"Information gathering",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","6","DNS Host Name","Ig","1",,,,,,,,"The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.","N/A","N/A",,,"IP address	Host name
172.31.1.95	redmine33.labvulnerabilities_vulnnet","no",,,"Information gathering",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","45038","Host Scan Time - Scanner","Ig","1",,,,,,,,"The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
 
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.","N/A","N/A",,,"Scan duration: 1427 seconds

Start time: Sun, Jul 26 2026, 03:23:46 GMT

End time: Sun, Jul 26 2026, 03:47:33 GMT","no",,,"Information gathering",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","45039","Host Names Found","Ig","1",,,,,,,,"The following host names were discovered for this computer using various methods such as DNS look up, NetBIOS query, and SQL server name query.","N/A","N/A",,,"Host Name	Source
redmine33.labvulnerabilities_vulnnet	FQDN","no",,,"Information gathering",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","45426","Scan Activity per Port","Ig","1",,,,,,,,"Scan activity per port is an estimate of the amount of internal process time the scanner engine spent scanning a particular TCP or UDP port. This information can be useful to determine the reason for long scan times. The individual time values represent internal process time, not elapsed time, and can be longer than the total scan time because of internal parallelism. High values are often caused by slowly responding services or services on which requests time out.","N/A","N/A",,,"Protocol	Port	Time
TCP	3000	 4:54:28","no",,,"Information gathering",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","82023","Open TCP Services List","Ig","1",,,,,,,,"The port scanner enables unauthorized users with the appropriate tools to draw a map of all services on this host that can be accessed from the Internet.  The test was carried out with a ""stealth"" port scanner so that the server does not log real connections.
 
The Results section displays the port number (Port), the default service listening on the port (IANA Assigned Ports/Services), the description of the service (Description) and the service that the scanner detected using service discovery (Service Detected).","Unauthorized users can exploit this information to test vulnerabilities in each of the open services.","Shut down any unknown or unused service on the list.  If you have difficulty figuring out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).",,,"Port	IANA Assigned Ports/Services	Description	Service Detected	OS On Redirected Port
3000	hbci	HBCI	http","no",,,"TCP/IP",,
"172.31.1.95","redmine33.labvulnerabilities_vulnnet",,,"host scanned, found vuln","82040","ICMP Replies Received","Ig","1",,,,,,,,"ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. ICMP's principal purpose is to provide a protocol layer that informs gateways of the inter-connectivity and accessibility of other gateways or hosts. 
 
We have sent the following types of packets to trigger the host to send us ICMP replies: 
 
Echo Request (to trigger Echo Reply) 
Timestamp Request (to trigger Timestamp Reply) 
Address Mask Request (to trigger Address Mask Reply) 
UDP Packet (to trigger Port Unreachable Reply) 
IP Packet with Protocol >= 250 (to trigger Protocol Unreachable Reply)
 
Listed in the ""Result"" section are the ICMP replies that we have received.",,,,,"ICMP Reply Type	Triggered By	Additional Information
Echo (type=0 code=0)	Echo Request	Echo Reply
Unreachable (type=3 code=3)	UDP Port 858	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 500	Port Unreachable
Time Stamp (type=14 code=0)	Time Stamp Request	12:47:33 GMT
Unreachable (type=3 code=3)	UDP Port 514	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 1034	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 98	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 50113	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 6969	Port Unreachable
Unreachable (type=3 code=2)	IP with High Protocol	Protocol Unreachable
Unreachable (type=3 code=3)	UDP Port 177	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 6073	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 5001	Port Unreachable","no",,,"TCP/IP",,
